scenario,clients,server,method,reqs,fails,avg_delay,min_delay,max_delay,duration,io_ops,io_duration,cpu_ops,cpu_duration,cpu_user,cpu_system,cpu_children_user,cpu_children_system,mem_virt,mem_res,mem_uni
highcpu,10,asyncio,/parallel-io,658,0(0.00%),255,129,843,270,7980,411.5,8672,82.9,171.1,2.5,0.0,0.0,1578.8,38.3,29.6
highcpu,10,asyncio,/sequential-io,666,0(0.00%),717,315,1824,270,7980,411.5,8672,82.9,171.1,2.5,0.0,0.0,1578.8,38.3,29.6
highcpu,10,asyncio,/no-io,685,0(0.00%),43,11,248,270,7980,411.5,8672,82.9,171.1,2.5,0.0,0.0,1578.8,38.3,29.6
highcpu,10,tornado2,/no-io,661,0(0.00%),24,8,126,256,7887,406.7,8546,81.7,124.1,4.0,0.0,0.0,1556.2,28.6,23.9
highcpu,10,tornado2,/parallel-io,671,0(0.00%),182,100,484,256,7887,406.7,8546,81.7,124.1,4.0,0.0,0.0,1556.2,28.6,23.9
highcpu,10,tornado2,/sequential-io,677,0(0.00%),566,338,1077,256,7887,406.7,8546,81.7,124.1,4.0,0.0,0.0,1556.2,28.6,23.9
highcpu,10,tornado3,/no-io,645,0(0.00%),34,9,162,267,7964,410.7,8596,82.1,158.2,3.2,0.0,0.0,1559.1,32.7,24.4
highcpu,10,tornado3,/sequential-io,679,0(0.00%),685,346,1499,267,7964,410.7,8596,82.1,158.2,3.2,0.0,0.0,1559.1,32.7,24.4
highcpu,10,tornado3,/parallel-io,685,0(0.00%),229,109,579,267,7964,410.7,8596,82.1,158.2,3.2,0.0,0.0,1559.1,32.7,24.4
highcpu,20,asyncio,/no-io,657,0(0.00%),49,9,195,144,8028,414.0,8681,82.9,113.7,1.4,0.0,0.0,1579.2,38.8,29.9
highcpu,20,asyncio,/parallel-io,668,0(0.00%),260,117,518,144,8028,414.0,8681,82.9,113.7,1.4,0.0,0.0,1579.2,38.8,29.9
highcpu,20,asyncio,/sequential-io,694,0(0.00%),808,389,1368,144,8028,414.0,8681,82.9,113.7,1.4,0.0,0.0,1579.2,38.8,29.9
highcpu,20,tornado2,/parallel-io,661,0(0.00%),184,96,395,134,7997,412.4,8647,82.6,89.8,4.7,0.0,0.0,1556.6,32.6,28.0
highcpu,20,tornado2,/no-io,662,0(0.00%),20,7,71,134,7997,412.4,8647,82.6,89.8,4.7,0.0,0.0,1556.6,32.6,28.0
highcpu,20,tornado2,/sequential-io,696,0(0.00%),619,350,1050,134,7997,412.4,8647,82.6,89.8,4.7,0.0,0.0,1556.6,32.6,28.0
highcpu,20,tornado3,/sequential-io,625,0(0.00%),946,439,1816,146,7718,398.0,8384,80.1,112.0,2.2,0.0,0.0,1559.7,33.3,24.8
highcpu,20,tornado3,/no-io,687,0(0.00%),33,8,101,146,7718,398.0,8384,80.1,112.0,2.2,0.0,0.0,1559.7,33.3,24.8
highcpu,20,tornado3,/parallel-io,707,0(0.00%),277,110,731,146,7718,398.0,8384,80.1,112.0,2.2,0.0,0.0,1559.7,33.3,24.8
highcpu,40,asyncio,/sequential-io,666,0(0.00%),2374,1017,3505,114,8277,426.9,8966,85.7,105.9,1.4,0.0,0.0,1586.0,45.4,36.7
highcpu,40,asyncio,/parallel-io,685,0(0.00%),737,274,1268,114,8277,426.9,8966,85.7,105.9,1.4,0.0,0.0,1586.0,45.4,36.7
highcpu,40,asyncio,/no-io,688,0(0.00%),172,10,550,114,8277,426.9,8966,85.7,105.9,1.4,0.0,0.0,1586.0,45.4,36.7
highcpu,40,tornado2,/sequential-io,664,0(0.00%),2254,839,3313,105,8008,412.9,8695,83.1,84.7,5.1,0.0,0.0,1557.5,29.7,25.0
highcpu,40,tornado2,/parallel-io,681,0(0.00%),491,199,845,105,8008,412.9,8695,83.1,84.7,5.1,0.0,0.0,1557.5,29.7,25.0
highcpu,40,tornado2,/no-io,694,0(0.00%),25,7,71,105,8008,412.9,8695,83.1,84.7,5.1,0.0,0.0,1557.5,29.7,25.0
highcpu,40,tornado3,/no-io,622,0(0.00%),38,9,106,136,8396,433.0,8990,85.9,115.2,2.1,0.0,0.0,1560.5,34.1,25.7
highcpu,40,tornado3,/parallel-io,671,0(0.00%),742,289,1224,136,8396,433.0,8990,85.9,115.2,2.1,0.0,0.0,1560.5,34.1,25.7
highcpu,40,tornado3,/sequential-io,746,0(0.00%),3497,1871,4824,136,8396,433.0,8990,85.9,115.2,2.1,0.0,0.0,1560.5,34.1,25.7
highcpu,80,asyncio,/no-io,688,0(0.00%),605,10,1410,125,8564,441.6,9255,88.4,113.0,1.3,0.0,0.0,1592.2,47.7,39.0
highcpu,80,asyncio,/parallel-io,691,0(0.00%),2101,1006,3079,125,8564,441.6,9255,88.4,113.0,1.3,0.0,0.0,1592.2,47.7,39.0
highcpu,80,asyncio,/sequential-io,700,0(0.00%),6941,2542,10570,125,8564,441.6,9255,88.4,113.0,1.3,0.0,0.0,1592.2,47.7,39.0
highcpu,80,tornado2,/no-io,653,0(0.00%),26,7,90,119,8921,460.0,9524,91.0,93.6,5.0,0.0,0.0,1560.3,26.1,21.8
highcpu,80,tornado2,/parallel-io,677,0(0.00%),1314,800,1974,119,8921,460.0,9524,91.0,93.6,5.0,0.0,0.0,1560.3,26.1,21.8
highcpu,80,tornado2,/sequential-io,749,0(0.00%),7012,2790,9025,119,8921,460.0,9524,91.0,93.6,5.0,0.0,0.0,1560.3,26.1,21.8
highcpu,80,tornado3,/no-io,680,0(0.00%),40,9,105,144,8955,461.8,9573,91.5,124.4,2.8,0.0,0.0,1562.2,29.4,21.4
highcpu,80,tornado3,/parallel-io,690,0(0.00%),1861,1148,2644,144,8955,461.8,9573,91.5,124.4,2.8,0.0,0.0,1562.2,29.4,21.4
highcpu,80,tornado3,/sequential-io,709,0(0.00%),9856,3476,12526,144,8955,461.8,9573,91.5,124.4,2.8,0.0,0.0,1562.2,29.4,21.4
highcpu,160,asyncio,/no-io,684,0(0.00%),540,77,2517,144,10591,546.2,11290,107.9,134.4,1.7,0.0,0.0,1599.9,59.1,50.7
highcpu,160,asyncio,/parallel-io,726,0(0.00%),4641,3653,6455,144,10591,546.2,11290,107.9,134.4,1.7,0.0,0.0,1599.9,59.1,50.7
highcpu,160,asyncio,/sequential-io,749,0(0.00%),16199,6430,24177,144,10591,546.2,11290,107.9,134.4,1.7,0.0,0.0,1599.9,59.1,50.7
highcpu,160,tornado2,/no-io,651,0(0.00%),26,7,75,139,11166,575.9,12050,115.1,119.4,6.6,0.0,0.0,1565.3,37.2,32.8
highcpu,160,tornado2,/parallel-io,704,0(0.00%),2997,2278,3593,139,11166,575.9,12050,115.1,119.4,6.6,0.0,0.0,1565.3,37.2,32.8
highcpu,160,tornado2,/sequential-io,804,0(0.00%),16518,6217,18966,139,11166,575.9,12050,115.1,119.4,6.6,0.0,0.0,1565.3,37.2,32.8
highcpu,160,tornado3,/parallel-io,691,0(0.00%),3988,3122,4694,164,10188,525.4,10947,104.6,142.4,3.7,0.0,0.0,1565.2,36.3,28.4
highcpu,160,tornado3,/no-io,703,0(0.00%),41,9,118,164,10188,525.4,10947,104.6,142.4,3.7,0.0,0.0,1565.2,36.3,28.4
highcpu,160,tornado3,/sequential-io,765,0(0.00%),21922,8137,25092,164,10188,525.4,10947,104.6,142.4,3.7,0.0,0.0,1565.2,36.3,28.4
highdelay,10,asyncio,/parallel-io,644,0(0.00%),1278,1140,1365,662,7919,7111.1,8609,9.1,109.8,6.3,0.0,0.0,1578.5,39.9,31.0
highdelay,10,asyncio,/sequential-io,674,0(0.00%),5524,3436,7434,662,7919,7111.1,8609,9.1,109.8,6.3,0.0,0.0,1578.5,39.9,31.0
highdelay,10,asyncio,/no-io,691,0(0.00%),17,4,38,662,7919,7111.1,8609,9.1,109.8,6.3,0.0,0.0,1578.5,39.9,31.0
highdelay,10,tornado2,/no-io,656,0(0.00%),17,4,41,811,8119,7291.1,8775,9.3,126.3,18.8,0.0,0.0,1557.0,29.0,24.5
highdelay,10,tornado2,/parallel-io,668,0(0.00%),1762,1150,3184,811,8119,7291.1,8775,9.3,126.3,18.8,0.0,0.0,1557.0,29.0,24.5
highdelay,10,tornado2,/sequential-io,685,0(0.00%),7137,3978,11546,811,8119,7291.1,8775,9.3,126.3,18.8,0.0,0.0,1557.0,29.0,24.5
highdelay,10,tornado3,/no-io,641,0(0.00%),18,4,36,821,8211,7373.1,8849,9.4,135.7,10.5,0.0,0.0,1559.5,31.0,22.5
highdelay,10,tornado3,/parallel-io,671,0(0.00%),1806,1150,3727,821,8211,7373.1,8849,9.4,135.7,10.5,0.0,0.0,1559.5,31.0,22.5
highdelay,10,tornado3,/sequential-io,697,0(0.00%),7079,3755,11544,821,8211,7373.1,8849,9.4,135.7,10.5,0.0,0.0,1559.5,31.0,22.5
highdelay,20,asyncio,/no-io,630,0(0.00%),17,4,45,338,8265,7421.4,8880,9.4,96.3,5.4,0.0,0.0,1579.4,39.4,30.2
highdelay,20,asyncio,/sequential-io,669,0(0.00%),5500,3319,7331,338,8265,7421.4,8880,9.4,96.3,5.4,0.0,0.0,1579.4,39.4,30.2
highdelay,20,asyncio,/parallel-io,720,0(0.00%),1277,1134,1374,338,8265,7421.4,8880,9.4,96.3,5.4,0.0,0.0,1579.4,39.4,30.2
highdelay,20,tornado2,/no-io,634,0(0.00%),14,3,42,764,8305,7457.4,8928,9.4,112.6,19.1,0.0,0.0,1557.2,29.2,24.7
highdelay,20,tornado2,/parallel-io,680,0(0.00%),3214,1557,5359,764,8305,7457.4,8928,9.4,112.6,19.1,0.0,0.0,1557.2,29.2,24.7
highdelay,20,tornado2,/sequential-io,705,0(0.00%),15520,7641,21610,764,8305,7457.4,8928,9.4,112.6,19.1,0.0,0.0,1557.2,29.2,24.7
highdelay,20,tornado3,/sequential-io,671,0(0.00%),15571,7786,22706,740,8088,7263.0,8772,9.3,95.5,8.3,0.0,0.0,1560.0,33.9,25.1
highdelay,20,tornado3,/parallel-io,673,0(0.00%),3271,1625,6106,740,8088,7263.0,8772,9.3,95.5,8.3,0.0,0.0,1560.0,33.9,25.1
highdelay,20,tornado3,/no-io,675,0(0.00%),13,4,35,740,8088,7263.0,8772,9.3,95.5,8.3,0.0,0.0,1560.0,33.9,25.1
highdelay,40,asyncio,/no-io,659,0(0.00%),5,3,35,178,8226,7386.5,8845,9.4,32.2,2.2,0.0,0.0,1580.2,41.7,32.8
highdelay,40,asyncio,/parallel-io,673,0(0.00%),1248,1129,1323,178,8226,7386.5,8845,9.4,32.2,2.2,0.0,0.0,1580.2,41.7,32.8
highdelay,40,asyncio,/sequential-io,707,0(0.00%),5418,3493,7265,178,8226,7386.5,8845,9.4,32.2,2.2,0.0,0.0,1580.2,41.7,32.8
highdelay,40,tornado2,/parallel-io,671,0(0.00%),6302,3732,9821,751,8236,7395.8,8924,9.4,69.2,11.1,0.0,0.0,1559.6,29.6,24.8
highdelay,40,tornado2,/no-io,673,0(0.00%),9,3,38,751,8236,7395.8,8924,9.4,69.2,11.1,0.0,0.0,1559.6,29.6,24.8
highdelay,40,tornado2,/sequential-io,695,0(0.00%),33653,15264,42828,751,8236,7395.8,8924,9.4,69.2,11.1,0.0,0.0,1559.6,29.6,24.8
highdelay,40,tornado3,/no-io,630,0(0.00%),7,4,37,772,8488,7622.4,9126,9.7,55.5,5.2,0.0,0.0,1560.9,34.2,25.8
highdelay,40,tornado3,/parallel-io,699,0(0.00%),6403,3837,10567,772,8488,7622.4,9126,9.7,55.5,5.2,0.0,0.0,1560.9,34.2,25.8
highdelay,40,tornado3,/sequential-io,710,0(0.00%),33767,15305,42553,772,8488,7622.4,9126,9.7,55.5,5.2,0.0,0.0,1560.9,34.2,25.8
highdelay,80,asyncio,/no-io,668,0(0.00%),9,3,40,105,9054,8131.0,9737,10.3,47.2,2.9,0.0,0.0,1582.8,44.2,35.6
highdelay,80,asyncio,/parallel-io,683,0(0.00%),1262,1125,1380,105,9054,8131.0,9737,10.3,47.2,2.9,0.0,0.0,1582.8,44.2,35.6
highdelay,80,asyncio,/sequential-io,728,0(0.00%),5469,3138,7295,105,9054,8131.0,9737,10.3,47.2,2.9,0.0,0.0,1582.8,44.2,35.6
highdelay,80,tornado2,/no-io,648,0(0.00%),17,4,39,801,8715,7825.7,9379,9.9,144.1,23.4,0.0,0.0,1562.8,32.6,28.2
highdelay,80,tornado2,/parallel-io,705,2(0.28%),13006,8753,20570,801,8715,7825.7,9379,9.9,144.1,23.4,0.0,0.0,1562.8,32.6,28.2
highdelay,80,tornado2,/sequential-io,724,0(0.00%),70696,27361,83104,801,8715,7825.7,9379,9.9,144.1,23.4,0.0,0.0,1562.8,32.6,28.2
highdelay,80,tornado3,/no-io,619,0(0.00%),19,5,36,817,8832,7931.1,9446,10.0,156.3,12.8,0.0,0.0,1562.4,34.1,25.6
highdelay,80,tornado3,/parallel-io,714,0(0.00%),12840,8877,18620,817,8832,7931.1,9446,10.0,156.3,12.8,0.0,0.0,1562.4,34.1,25.6
highdelay,80,tornado3,/sequential-io,746,0(0.00%),70526,27286,82764,817,8832,7931.1,9446,10.0,156.3,12.8,0.0,0.0,1562.4,34.1,25.6
highdelay,160,asyncio,/no-io,691,0(0.00%),7,3,42,80,11754,10554.6,12777,13.5,45.6,2.8,0.0,0.0,1588.2,47.5,39.0
highdelay,160,asyncio,/parallel-io,714,0(0.00%),1261,1128,1380,80,11754,10554.6,12777,13.5,45.6,2.8,0.0,0.0,1588.2,47.5,39.0
highdelay,160,asyncio,/sequential-io,754,0(0.00%),5478,3211,7315,80,11754,10554.6,12777,13.5,45.6,2.8,0.0,0.0,1588.2,47.5,39.0
highdelay,160,tornado2,/parallel-io,311,382(55.12%),19871,16597,21255,551,7874,7070.7,6729,7.1,104.2,16.8,0.0,0.0,1576.3,46.0,41.8
highdelay,160,tornado2,/sequential-io,377,395(51.17%),110020,42217,126557,551,7874,7070.7,6729,7.1,104.2,16.8,0.0,0.0,1576.3,46.0,41.8
highdelay,160,tornado2,/no-io,694,0(0.00%),17,4,40,551,7874,7070.7,6729,7.1,104.2,16.8,0.0,0.0,1576.3,46.0,41.8
highdelay,160,tornado3,/parallel-io,298,408(57.79%),20047,17142,21251,525,7693,6907.7,6386,6.8,103.7,8.7,0.0,0.0,1576.4,47.7,39.3
highdelay,160,tornado3,/sequential-io,352,408(53.68%),109729,41038,123937,525,7693,6907.7,6386,6.8,103.7,8.7,0.0,0.0,1576.4,47.7,39.3
highdelay,160,tornado3,/no-io,693,0(0.00%),19,4,73,525,7693,6907.7,6386,6.8,103.7,8.7,0.0,0.0,1576.4,47.7,39.3
highdelay_lowcpu,10,asyncio,/no-io,669,0(0.00%),10,3,30,654,8020,7201.9,8684,1.2,55.3,5.1,0.0,0.0,1578.6,38.1,29.3
highdelay_lowcpu,10,asyncio,/parallel-io,670,0(0.00%),1267,1129,1353,654,8020,7201.9,8684,1.2,55.3,5.1,0.0,0.0,1578.6,38.1,29.3
highdelay_lowcpu,10,asyncio,/sequential-io,670,0(0.00%),5444,3554,7303,654,8020,7201.9,8684,1.2,55.3,5.1,0.0,0.0,1578.6,38.1,29.3
highdelay_lowcpu,10,tornado2,/no-io,657,0(0.00%),13,3,37,805,8098,7271.7,8745,1.2,89.0,12.8,0.0,0.0,1557.2,29.1,24.5
highdelay_lowcpu,10,tornado2,/sequential-io,657,0(0.00%),7191,3998,12317,805,8098,7271.7,8745,1.2,89.0,12.8,0.0,0.0,1557.2,29.1,24.5
highdelay_lowcpu,10,tornado2,/parallel-io,695,0(0.00%),1817,1162,3963,805,8098,7271.7,8745,1.2,89.0,12.8,0.0,0.0,1557.2,29.1,24.5
highdelay_lowcpu,10,tornado3,/sequential-io,639,0(0.00%),7170,3779,11507,789,7920,7112.1,8613,1.2,90.9,10.9,0.0,0.0,1559.5,31.0,22.6
highdelay_lowcpu,10,tornado3,/parallel-io,681,0(0.00%),1810,1139,3693,789,7920,7112.1,8613,1.2,90.9,10.9,0.0,0.0,1559.5,31.0,22.6
highdelay_lowcpu,10,tornado3,/no-io,689,0(0.00%),13,4,31,789,7920,7112.1,8613,1.2,90.9,10.9,0.0,0.0,1559.5,31.0,22.6
highdelay_lowcpu,20,asyncio,/parallel-io,659,0(0.00%),1276,1136,1370,341,8165,7332.4,8836,1.2,62.5,6.0,0.0,0.0,1579.1,40.8,31.9
highdelay_lowcpu,20,asyncio,/no-io,663,0(0.00%),12,3,32,341,8165,7332.4,8836,1.2,62.5,6.0,0.0,0.0,1579.1,40.8,31.9
highdelay_lowcpu,20,asyncio,/sequential-io,697,0(0.00%),5448,3543,7442,341,8165,7332.4,8836,1.2,62.5,6.0,0.0,0.0,1579.1,40.8,31.9
highdelay_lowcpu,20,tornado2,/no-io,661,0(0.00%),13,3,25,747,8124,7295.0,8769,1.2,94.3,14.2,0.0,0.0,1557.2,29.1,24.5
highdelay_lowcpu,20,tornado2,/sequential-io,670,0(0.00%),15695,7066,21883,747,8124,7295.0,8769,1.2,94.3,14.2,0.0,0.0,1557.2,29.1,24.5
highdelay_lowcpu,20,tornado2,/parallel-io,688,0(0.00%),3317,1605,5606,747,8124,7295.0,8769,1.2,94.3,14.2,0.0,0.0,1557.2,29.1,24.5
highdelay_lowcpu,20,tornado3,/no-io,641,0(0.00%),13,4,28,759,8238,7398.3,8845,1.2,97.6,11.7,0.0,0.0,1560.0,33.5,25.1
highdelay_lowcpu,20,tornado3,/parallel-io,659,0(0.00%),3281,1852,5882,759,8238,7398.3,8845,1.2,97.6,11.7,0.0,0.0,1560.0,33.5,25.1
highdelay_lowcpu,20,tornado3,/sequential-io,719,0(0.00%),15113,8303,22961,759,8238,7398.3,8845,1.2,97.6,11.7,0.0,0.0,1560.0,33.5,25.1
highdelay_lowcpu,40,asyncio,/no-io,659,0(0.00%),12,3,34,180,8472,7607.8,9151,1.3,54.5,5.3,0.0,0.0,1580.3,42.0,33.1
highdelay_lowcpu,40,asyncio,/parallel-io,671,0(0.00%),1271,1132,1358,180,8472,7607.8,9151,1.3,54.5,5.3,0.0,0.0,1580.3,42.0,33.1
highdelay_lowcpu,40,asyncio,/sequential-io,709,0(0.00%),5479,3334,7430,180,8472,7607.8,9151,1.3,54.5,5.3,0.0,0.0,1580.3,42.0,33.1
highdelay_lowcpu,40,tornado2,/sequential-io,654,0(0.00%),34739,14018,44238,742,8112,7284.5,8811,1.2,93.6,15.3,0.0,0.0,1558.3,28.6,23.8
highdelay_lowcpu,40,tornado2,/parallel-io,691,0(0.00%),6546,3706,10054,742,8112,7284.5,8811,1.2,93.6,15.3,0.0,0.0,1558.3,28.6,23.8
highdelay_lowcpu,40,tornado2,/no-io,694,0(0.00%),13,4,27,742,8112,7284.5,8811,1.2,93.6,15.3,0.0,0.0,1558.3,28.6,23.8
highdelay_lowcpu,40,tornado3,/no-io,668,0(0.00%),8,3,24,754,8260,7417.4,8929,1.2,60.9,7.4,0.0,0.0,1560.7,34.3,25.7
highdelay_lowcpu,40,tornado3,/sequential-io,668,0(0.00%),34612,13770,42746,754,8260,7417.4,8929,1.2,60.9,7.4,0.0,0.0,1560.7,34.3,25.7
highdelay_lowcpu,40,tornado3,/parallel-io,703,0(0.00%),6506,3871,9546,754,8260,7417.4,8929,1.2,60.9,7.4,0.0,0.0,1560.7,34.3,25.7
highdelay_lowcpu,80,asyncio,/no-io,658,0(0.00%),10,3,66,107,9002,8083.6,9639,1.3,40.6,4.3,0.0,0.0,1582.9,40.5,31.7
highdelay_lowcpu,80,asyncio,/parallel-io,661,0(0.00%),1264,1128,1389,107,9002,8083.6,9639,1.3,40.6,4.3,0.0,0.0,1582.9,40.5,31.7
highdelay_lowcpu,80,asyncio,/sequential-io,760,0(0.00%),5488,3737,7404,107,9002,8083.6,9639,1.3,40.6,4.3,0.0,0.0,1582.9,40.5,31.7
highdelay_lowcpu,80,tornado2,/no-io,681,0(0.00%),13,3,33,778,8455,7592.9,9137,1.3,102.0,16.5,0.0,0.0,1561.5,29.7,25.2
highdelay_lowcpu,80,tornado2,/sequential-io,698,0(0.00%),70898,26955,84966,778,8455,7592.9,9137,1.3,102.0,16.5,0.0,0.0,1561.5,29.7,25.2
highdelay_lowcpu,80,tornado2,/parallel-io,700,0(0.00%),13008,8310,20699,778,8455,7592.9,9137,1.3,102.0,16.5,0.0,0.0,1561.5,29.7,25.2
highdelay_lowcpu,80,tornado3,/no-io,651,0(0.00%),14,3,29,794,8662,7778.0,9344,1.3,107.5,14.1,0.0,0.0,1562.7,32.1,23.8
highdelay_lowcpu,80,tornado3,/sequential-io,701,0(0.00%),71876,26793,84326,794,8662,7778.0,9344,1.3,107.5,14.1,0.0,0.0,1562.7,32.1,23.8
highdelay_lowcpu,80,tornado3,/parallel-io,727,0(0.00%),13084,8482,20428,794,8662,7778.0,9344,1.3,107.5,14.1,0.0,0.0,1562.7,32.1,23.8
highdelay_lowcpu,160,asyncio,/no-io,685,0(0.00%),7,2,49,80,11824,10618.1,12821,1.8,36.4,3.7,0.0,0.0,1586.9,46.4,37.7
highdelay_lowcpu,160,asyncio,/parallel-io,692,0(0.00%),1256,1127,1410,80,11824,10618.1,12821,1.8,36.4,3.7,0.0,0.0,1586.9,46.4,37.7
highdelay_lowcpu,160,asyncio,/sequential-io,782,0(0.00%),5490,3234,7349,80,11824,10618.1,12821,1.8,36.4,3.7,0.0,0.0,1586.9,46.4,37.7
highdelay_lowcpu,160,tornado2,/parallel-io,316,404(56.11%),19920,16996,21278,543,7953,7141.2,6655,0.9,78.4,12.2,0.0,0.0,1576.5,46.8,42.4
highdelay_lowcpu,160,tornado2,/sequential-io,367,395(51.84%),110693,31352,124549,543,7953,7141.2,6655,0.9,78.4,12.2,0.0,0.0,1576.5,46.8,42.4
highdelay_lowcpu,160,tornado2,/no-io,677,0(0.00%),14,3,31,543,7953,7141.2,6655,0.9,78.4,12.2,0.0,0.0,1576.5,46.8,42.4
highdelay_lowcpu,160,tornado3,/parallel-io,309,451(59.34%),19902,15763,21270,521,7978,7163.9,6444,0.9,78.7,9.5,0.0,0.0,1576.6,48.2,39.9
highdelay_lowcpu,160,tornado3,/sequential-io,320,408(56.04%),110140,47805,124224,521,7978,7163.9,6444,0.9,78.7,9.5,0.0,0.0,1576.6,48.2,39.9
